0,24.918,25.672,24.97,25.564
0.5,24.929,25.669,24.976,25.574
1,24.982,25.669,24.981,25.568
1.5,25.133,25.679,24.981,25.569
2,25.336,25.677,24.977,25.569
2.5,25.565,25.697,24.986,25.572
3,25.776,25.767,24.988,25.57
3.5,26.02,25.945,24.985,25.574
4,26.216,26.256,24.987,25.571
4.5,26.336,26.676,24.987,25.572
5,26.414,27.194,25.002,25.583
5.5,26.487,27.725,24.997,25.588
6,26.524,28.241,25.001,25.596
6.5,26.582,28.735,25.008,25.639
7,26.614,29.193,25.033,25.677
7.5,26.617,29.578,25.056,25.739
8,26.559,29.933,25.113,25.819
8.5,26.509,30.228,25.22,25.933
9,26.486,30.496,25.361,26.069
9.5,26.464,30.728,25.541,26.211
10,26.469,30.904,25.728,26.365
10.5,26.481,31.046,25.93,26.518
11,26.508,31.172,26.132,26.677
11.5,26.532,31.254,26.312,26.841
12,26.574,31.321,26.479,26.997
12.5,26.597,31.374,26.649,27.14
13,26.638,31.393,26.785,27.287
13.5,26.679,31.416,26.927,27.406
14,26.719,31.404,27.039,27.522
14.5,26.807,31.391,27.14,27.625
15,26.948,31.357,27.231,27.729
15.5,27.128,31.329,27.316,27.817
16,27.393,31.318,27.386,27.883
16.5,27.695,31.381,27.453,27.961
17,28.072,31.556,27.509,28.024
17.5,28.409,31.845,27.554,28.081
18,28.589,32.238,27.603,28.133
18.5,28.72,32.695,27.642,28.169
19,28.83,33.155,27.674,28.223
19.5,28.932,33.597,27.707,28.262
20,28.997,34.004,27.738,28.332
20.5,29.002,34.367,27.765,28.397
21,28.948,34.69,27.834,28.488
21.5,28.884,34.965,27.912,28.598
22,28.849,35.188,28.054,28.722
22.5,28.802,35.362,28.221,28.879
23,28.796,35.504,28.41,29.025
23.5,28.805,35.616,28.613,29.193
24,28.817,35.683,28.822,29.355
24.5,28.825,35.737,29.015,29.52
25,28.869,35.755,29.204,29.681
25.5,28.895,35.758,29.382,29.825
26,28.932,35.735,29.53,29.96
26.5,28.966,35.7,29.667,30.085
27,28.996,35.65,29.794,30.192
27.5,29.049,35.591,29.903,30.304
28,29.143,35.514,30.001,30.398
28.5,29.258,35.425,30.08,30.486
29,29.417,35.353,30.151,30.564
29.5,29.613,35.317,30.225,30.634
30,29.856,35.349,30.276,30.691
30.5,30.154,35.474,30.317,30.73
31,30.406,35.726,30.363,30.779
31.5,30.555,36.045,30.396,30.811
32,30.689,36.399,30.416,30.843
32.5,30.777,36.777,30.452,30.889
33,30.886,37.132,30.478,30.929
33.5,30.923,37.456,30.498,30.975
34,30.903,37.743,30.54,31.047
34.5,30.857,37.982,30.597,31.125
35,30.844,38.192,30.69,31.218
35.5,30.831,38.344,30.814,31.336
36,30.821,38.471,30.978,31.474
36.5,30.84,38.567,31.153,31.612
37,30.862,38.636,31.342,31.754
37.5,30.897,38.667,31.523,31.896
38,30.934,38.673,31.687,32.034
38.5,30.973,38.667,31.851,32.166
39,31.02,38.627,32,32.291
39.5,31.066,38.573,32.145,32.408
40,31.099,38.509,32.255,32.529
40.5,31.158,38.433,32.367,32.622
41,31.232,38.347,32.461,32.707
41.5,31.341,38.243,32.537,32.779
42,31.456,38.149,32.599,32.853
42.5,31.595,38.057,32.668,32.909
43,31.775,38.018,32.716,32.963
43.5,31.965,38.039,32.77,33.01
44,32.158,38.168,32.793,33.039
44.5,32.319,38.376,32.83,33.075
45,32.438,38.656,32.847,33.109
45.5,32.535,38.972,32.872,33.13
46,32.623,39.295,32.89,33.16
46.5,32.691,39.607,32.901,33.2
47,32.709,39.893,32.93,33.243
47.5,32.703,40.143,32.969,33.3
48,32.687,40.365,33.027,33.381
48.5,32.694,40.538,33.124,33.479
49,32.699,40.687,33.241,33.574
49.5,32.722,40.798,33.403,33.693
50,32.754,40.886,33.556,33.826
50.5,32.801,40.936,33.721,33.962
51,32.847,40.957,33.888,34.087
51.5,32.898,40.962,34.053,34.223
52,32.958,40.938,34.197,34.341
52.5,33.02,40.901,34.33,34.46
53,33.071,40.849,34.453,34.571
53.5,33.125,40.788,34.57,34.662
54,33.203,40.702,34.657,34.75
54.5,33.302,40.603,34.749,34.843
55,33.413,40.509,34.805,34.909
55.5,33.535,40.404,34.88,34.965
56,33.678,40.324,34.936,35.026
56.5,33.837,40.281,34.981,35.066
57,34.005,40.325,35.026,35.114
57.5,34.166,40.441,35.052,35.137
58,34.284,40.634,35.08,35.17
58.5,34.407,40.883,35.113,35.194
59,34.492,41.162,35.118,35.225
59.5,34.573,41.449,35.146,35.267
60,34.626,41.722,35.157,35.287
60.5,34.63,41.998,35.19,35.335
61,34.638,42.234,35.222,35.394
61.5,34.638,42.441,35.284,35.466
62,34.657,42.615,35.373,35.559
62.5,34.694,42.763,35.488,35.66
63,34.719,42.872,35.627,35.774
63.5,34.784,42.959,35.781,35.894
64,34.836,43.013,35.93,36.017
64.5,34.884,43.04,36.083,36.147
65,34.942,43.049,36.234,36.263
65.5,35.015,43.043,36.373,36.384
66,35.069,43.001,36.499,36.493
66.5,35.142,42.954,36.628,36.599
67,35.213,42.887,36.718,36.698
67.5,35.337,42.814,36.81,36.773
68,35.473,42.722,36.909,36.859
68.5,35.638,42.636,36.971,36.927
69,35.807,42.538,37.033,37
69.5,35.974,42.465,37.094,37.038
70,36.167,42.441,37.125,37.085
70.5,36.351,42.485,37.172,37.127
71,36.498,42.584,37.206,37.172
71.5,36.611,42.761,37.234,37.19
72,36.715,42.982,37.265,37.219
72.5,36.789,43.233,37.284,37.25
73,36.836,43.484,37.298,37.271
73.5,36.858,43.734,37.313,37.318
74,36.837,43.984,37.355,37.357
74.5,36.831,44.206,37.392,37.417
75,36.838,44.406,37.455,37.483
75.5,36.861,44.579,37.555,37.573
76,36.892,44.723,37.674,37.675
76.5,36.934,44.838,37.804,37.77
77,36.976,44.947,37.953,37.889
77.5,37.036,45.005,38.097,38.005
78,37.091,45.047,38.249,38.128
78.5,37.157,45.069,38.382,38.243
79,37.23,45.066,38.52,38.347
79.5,37.29,45.04,38.65,38.455
80,37.365,45.004,38.766,38.558
80.5,37.463,44.947,38.864,38.66
81,37.572,44.88,38.958,38.738
81.5,37.699,44.811,39.041,38.816
82,37.815,44.721,39.109,38.888
82.5,37.938,44.646,39.175,38.954
83,38.057,44.599,39.231,39.01
83.5,38.192,44.585,39.286,39.061
84,38.322,44.638,39.334,39.101
84.5,38.461,44.752,39.369,39.132
85,38.578,44.917,39.391,39.169
85.5,38.682,45.109,39.427,39.203
86,38.763,45.329,39.447,39.245
86.5,38.808,45.563,39.467,39.276
87,38.826,45.803,39.498,39.326
87.5,38.83,46.032,39.527,39.362
88,38.826,46.24,39.584,39.437
88.5,38.841,46.429,39.655,39.513
89,38.867,46.599,39.736,39.596
89.5,38.896,46.745,39.857,39.681
90,38.942,46.864,39.985,39.809
90.5,39.002,46.976,40.13,39.913
91,39.066,47.038,40.264,40.015
91.5,39.132,47.097,40.4,40.137
92,39.212,47.133,40.538,40.248
92.5,39.304,47.138,40.672,40.36
93,39.367,47.131,40.784,40.473
93.5,39.465,47.104,40.901,40.572
94,39.593,47.061,41.003,40.661
94.5,39.716,47.002,41.103,40.743
95,39.848,46.938,41.182,40.826
95.5,39.998,46.873,41.259,40.897
96,40.198,46.812,41.316,40.961
96.5,40.417,46.769,41.393,41.027
97,40.673,46.767,41.437,41.069
97.5,40.869,46.818,41.491,41.117
98,40.991,46.921,41.527,41.158
98.5,41.093,47.052,41.565,41.202
99,41.163,47.227,41.593,41.223
99.5,41.218,47.415,41.616,41.275
100,41.208,47.626,41.667,41.303
100.5,41.189,47.837,41.694,41.351
101,41.177,48.026,41.721,41.395
101.5,41.167,48.219,41.785,41.456
102,41.18,48.396,41.875,41.53
102.5,41.194,48.563,41.969,41.607
103,41.224,48.7,42.077,41.7
103.5,41.262,48.827,42.212,41.797
104,41.316,48.919,42.333,41.899
104.5,41.372,48.994,42.472,42.002
105,41.442,49.053,42.603,42.108
105.5,41.516,49.095,42.727,42.213
106,41.597,49.123,42.858,42.323
106.5,41.672,49.117,42.979,42.422
107,41.807,49.101,43.086,42.515
107.5,41.951,49.063,43.181,42.605
108,42.083,49.025,43.278,42.691
108.5,42.229,48.973,43.364,42.768
109,42.374,48.926,43.438,42.846
109.5,42.509,48.886,43.503,42.906
110,42.654,48.85,43.572,42.969
110.5,42.797,48.87,43.627,43.019
111,42.902,48.912,43.677,43.067
111.5,42.99,49.001,43.724,43.108
112,43.069,49.127,43.759,43.159
112.5,43.158,49.271,43.792,43.193
113,43.193,49.431,43.823,43.236
113.5,43.204,49.628,43.87,43.288
114,43.214,49.793,43.906,43.337
114.5,43.209,49.981,43.958,43.391
115,43.23,50.149,44.019,43.459
115.5,43.25,50.31,44.102,43.542
116,43.281,50.459,44.199,43.621
116.5,43.337,50.584,44.308,43.709
117,43.387,50.708,44.428,43.806
117.5,43.442,50.797,44.55,43.901
118,43.519,50.877,44.68,44.002
118.5,43.59,50.929,44.806,44.114
119,43.659,50.979,44.93,44.217
119.5,43.743,51.01,45.057,44.315
120,43.9,51.024,45.161,44.419
120.5,44.071,51.01,45.257,44.5
121,44.216,50.999,45.359,44.597
121.5,44.353,50.971,45.459,44.673
122,44.503,50.932,45.538,44.747
122.5,44.66,50.894,45.627,44.816
123,44.805,50.858,45.689,44.888
123.5,44.971,50.852,45.746,44.944
124,45.095,50.867,45.812,45.001
124.5,45.195,50.918,45.854,45.056
125,45.289,50.995,45.907,45.101
125.5,45.379,51.093,45.955,45.149
126,45.445,51.223,45.983,45.198
126.5,45.466,51.36,46.021,45.244
127,45.451,51.519,46.06,45.288
127.5,45.454,51.672,46.104,45.341
128,45.456,51.826,46.163,45.391
128.5,45.482,51.977,46.239,45.466
129,45.494,52.117,46.311,45.526
129.5,45.534,52.255,46.413,45.6
130,45.583,52.383,46.522,45.694
130.5,45.641,52.483,46.628,45.779
131,45.713,52.575,46.748,45.863
131.5,45.786,52.652,46.872,45.962
132,45.853,52.715,46.985,46.055
132.5,45.934,52.755,47.093,46.157
133,46.041,52.779,47.206,46.243
133.5,46.281,52.802,47.319,46.331
134,46.419,52.807,47.407,46.418
134.5,46.543,52.796,47.503,46.502
135,46.68,52.777,47.581,46.577
135.5,46.818,52.753,47.671,46.656
136,46.96,52.727,47.747,46.725
136.5,47.113,52.709,47.807,46.795
137,47.272,52.713,47.871,46.846
137.5,47.409,52.723,47.931,46.899
138,47.521,52.775,47.985,46.949
138.5,47.633,52.852,48.026,47
139,47.713,52.933,48.074,47.042
139.5,47.754,53.042,48.113,47.092
140,47.745,53.169,48.154,47.135
140.5,47.719,53.299,48.198,47.188
141,47.711,53.436,48.255,47.236
141.5,47.71,53.578,48.309,47.281
